Table Number,Players,Pages,Total KC,Average KC/Player
11,82872,3315,36139753,436.09123708852206
12,78198,3128,70665550,903.6746464103941
13,348062,13923,93205339,267.78372531330626
14,37993,1520,1209384,31.8317584818256
15,48673,1947,11733185,241.06147145234524
16,116305,4653,86775243,746.1007093418168
17,98738,3950,36870436,373.4168810387085
18,11787,472,1300940,110.3707474336133
19,33752,1351,5700158,168.88356245555818
20,47691,1908,8400354,176.14128451909164
21,80016,3201,28352808,354.3392321535693
22,61610,2465,16188569,262.75878915760427
23,60144,2406,8150291,135.51295224793827
24,148243,5930,59764409,403.1516429106265
25,207515,8301,81511593,392.7985591403031
26,149324,5973,60948596,408.1634298572232
27,4886,196,504956,103.34752353663528
28,162843,6514,64749393,397.618522134817
29,119249,4770,50122402,420.3171682781407
30,85719,3429,21201330,247.33524656143913
31,209771,8391,8908402,42.46727145315606
32,70599,2824,21059382,298.2957548973782
33,249442,9978,72823547,291.9458110502642
34,235736,9430,317096277,1345.1330174432417
35,62834,2514,24831176,395.1869370086259
36,74603,2985,17879704,239.66467836414085
37,35318,1413,142092,4.023217622741945
39,61407,2457,1556677,25.35015551972902
40,39050,1562,8829279,226.10189500640206
41,35837,1434,8784081,245.11206295169796
42,202497,8100,5535236,27.334903726968793
43,10212,409,1000323,97.95564042303172
44,18743,750,2269815,121.1020114175959
45,20770,831,9830201,473.28844487241213
46,106252,4251,76940428,724.1315739939013
47,4890,196,41524,8.49161554192229
48,50673,2027,990182,19.54062321157224
49,59401,2377,18380739,309.43484116429016
50,21390,856,4772478,223.11725105189342
51,249077,9964,155471563,624.1907643018022
54,201177,8048,228256988,1134.607773254398
